,max_balance_drowdown,max_drawdown,returns_std,total_return,sharpe,downside_deviation,sortino,calmar_ratio,en_inU,en_outU,en_outD,en_inD,re_inU,re_outU,re_outD,re_inD,cc_inU,cc_outU,cc_outD,cc_inD,trades,positive_trades,positive_trading_days
0,0.133,4.175,0.386,0.048,0.011,0.049,97.916,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,12.0,58.333,2.419
1,0.296,11.045,0.823,-0.296,-0.032,0.376,-78.732,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,12.0,58.333,4.839
2,0.047,3.697,0.321,0.151,0.042,0.042,361.535,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,8.0,62.5,2.419
3,0.658,9.768,1.11,-0.124,-0.01,0.298,-41.697,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,13.0,46.154,4.032
4,0.047,3.697,0.321,0.151,0.042,0.042,361.535,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,8.0,62.5,2.419
5,0.047,2.522,0.27,0.163,0.054,0.042,390.852,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,8.0,62.5,3.226
6,0.133,4.175,0.386,0.048,0.011,0.049,97.916,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,12.0,58.333,2.419
7,0.047,2.397,0.232,0.12,0.046,0.042,287.467,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,8.0,62.5,3.226
8,0.047,3.697,0.321,0.151,0.042,0.042,361.535,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,8.0,62.5,2.419
9,0.047,3.697,0.321,0.151,0.042,0.042,361.535,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,8.0,62.5,2.419
10,0.273,7.574,0.532,-0.178,-0.03,0.154,-115.804,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.91,16.0,50.0,3.226
11,0.356,6.637,0.805,-0.029,-0.003,0.208,-13.775,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.91,11.0,54.545,4.032
12,0.148,7.574,0.522,-0.11,-0.019,0.154,-71.512,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.91,12.0,50.0,3.226
13,0.148,7.574,0.552,-0.017,-0.003,0.154,-11.017,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.91,12.0,50.0,3.226
14,0.575,11.561,1.148,-0.248,-0.019,0.163,-151.984,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.97,15.0,46.667,4.839
15,0.184,4.175,0.404,-0.002,-0.0,0.049,-4.214,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.09,1.03,0.91,0.85,12.0,58.333,2.419
16,0.346,11.045,0.867,-0.346,-0.036,0.327,-105.62,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.09,0.97,0.91,0.85,12.0,58.333,4.839
